X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
20402.0,18429.0,288.775,2.0,,,,
19764.0,18349.0,272.825,0.0,16.0749027991,82.8520646315,,
19068.0,18559.0,255.425,5.25,18.1747764773,106.789014004,23.9369493729,23.9369493729
18175.0,18745.0,233.1,9.9,22.8041251751,101.765045722,-5.02396828207,5.02396828207
17386.0,18982.0,213.375,15.825,20.5956609508,106.718500826,4.95345510365,4.95345510365
16809.0,19051.0,198.95,17.55,14.5277751222,96.8182294413,-9.90027138458,9.90027138458
16156.0,19368.0,182.625,25.475,18.1469350029,115.893572164,19.0753427222,19.0753427222
15461.0,19619.0,165.25,31.75,18.4733930289,109.856451641,-6.03712052224,6.03712052224
14919.0,19837.0,151.7,37.2,14.6049649092,111.909715498,2.05326385638,2.05326385638
14482.0,20100.0,140.775,43.775,12.7509313385,121.039806421,9.13009092313,9.13009092313
13792.0,20413.0,123.525,51.6,18.9418353123,114.399401813,-6.64040460798,6.64040460798
13524.0,20485.0,116.825,53.4,6.93757882838,105.035758582,-9.3636432311,9.3636432311
13021.0,20651.0,104.25,57.55,13.2420966995,108.262829348,3.22707076664,3.22707076664
12465.0,21010.0,90.35,66.525,16.545713191,122.848886063,14.5860567146,14.5860567146
12344.0,21052.0,87.325,67.575,3.20205012453,109.137982207,-13.7109038565,13.7109038565
12345.0,21052.0,87.35,67.575,0.025,270.572863162,161.434880955,161.434880955
11924.0,20921.0,76.825,64.3,11.0227605435,72.7145648609,162.141701699,162.141701699
11521.0,20782.0,66.75,60.825,10.6574504456,70.9688019236,-1.74576293733,1.74576293733
11242.0,20829.0,59.775,62.0,7.0732771754,99.5601336397,28.5913317162,28.5913317162
10904.0,21074.0,51.325,68.125,10.4363846709,125.935398966,26.3752653263,26.3752653263
10563.0,21367.0,42.8,75.45,11.2397175231,130.669400661,4.73400169486,4.73400169486
10080.0,21320.0,30.725,74.275,12.1320340422,84.4410287951,-46.2283718658,46.2283718658
9731.0,20920.0,22.0,64.275,13.2712329872,41.1040229593,-43.3370058357,43.3370058357
9180.0,20754.0,8.225,60.125,14.3865605688,73.2331082669,32.1290853076,32.1290853076
8851.0,20974.0,0.0,65.625,9.89447446811,123.769118976,50.5360107089,50.5360107089
8851.0,20974.0,0.0,65.625,0.0,123.769118976,0.0,0.0
8851.0,20974.0,0.0,65.625,0.0,123.769118976,0.0,0.0
8944.0,21058.0,2.325,67.725,3.13298978613,227.914271352,104.145152377,104.145152377
9386.0,21533.0,13.375,79.6,16.2209162811,222.93962895,-4.97464240236,4.97464240236
9611.0,21745.0,19.0,84.9,7.72855905069,226.705336989,3.76570803919,3.76570803919
