X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
19062.0,14509.0,195.1,76.9,,,,
18260.0,13955.0,175.05,63.05,24.368524781,55.3638913114,,
17021.0,13825.0,144.075,59.8,31.1450337133,84.0098658784,28.6459745671,28.6459745671
15641.0,13762.0,109.575,58.225,34.5359323748,87.3857974578,3.37593157933,3.37593157933
14866.0,13417.0,90.2,49.6,21.2080468219,66.0026614391,-21.3831360187,21.3831360187
13683.0,13067.0,60.625,40.85,30.8422295725,73.5183445437,7.51568310461,7.51568310461
12638.0,12933.0,34.5,37.5,26.3389089561,82.6923877784,9.17404323464,9.17404323464
11668.0,12936.0,10.25,37.575,24.2501159791,90.1765363337,7.48414855529,7.48414855529
11258.0,11989.0,0.0,13.9,25.798607036,23.4098122759,-66.7667240577,66.7667240577
11459.0,11433.0,5.025,0.0,14.7804135598,340.124842616,-43.2849696602,43.2849696602
11813.0,11486.0,13.875,1.325,8.94863816455,261.486716015,-78.6381266004,78.6381266004
11914.0,11691.0,16.4,6.45,5.71325213867,206.229810846,-55.2569051697,55.2569051697
11924.0,11985.0,16.65,13.8,7.35425047167,181.948152865,-24.281657981,24.281657981
11873.0,12102.0,15.375,16.725,3.19080710793,156.445922512,-25.5022303522,25.5022303522
11715.0,12089.0,11.425,16.4,3.96334770112,85.2928554271,-71.1530670853,71.1530670853
11636.0,12023.0,9.45,14.75,2.57354327727,50.1189367708,-35.1739186564,35.1739186564
11636.0,12023.0,9.45,14.75,0.0,50.1189367708,0.0,0.0
11636.0,12022.0,9.45,14.725,0.025,0.0,-50.1189367708,50.1189367708
11635.0,12023.0,9.425,14.75,0.0353553390593,134.71204568,134.71204568,134.71204568
11636.0,12023.0,9.45,14.75,0.025,270.572863162,135.860817481,135.860817481
