X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
25610.0,939.0,0.0,0.0,,,,
26118.0,1177.0,12.7,5.95,14.0247103357,244.897704528,,
26773.0,1641.0,29.075,17.55,20.0674020491,234.686988246,-10.2107162823,10.2107162823
27447.0,2117.0,45.925,29.45,20.6284391072,234.769672609,0.082684362393,0.082684362393
28198.0,2718.0,64.7,44.475,24.0468553038,231.331397412,-3.43827519661,3.43827519661
28919.0,3236.0,82.725,57.425,22.1946643363,234.305342346,2.97394493402,2.97394493402
29466.0,3733.0,96.4,69.85,18.4766406579,227.742569714,-6.56277263193,6.56277263193
30100.0,4151.0,112.25,80.3,18.9848623909,236.603573646,8.86100393212,8.86100393212
30695.0,4504.0,127.125,89.125,17.2958448767,239.321067859,2.71749421246,2.71749421246
30848.0,4643.0,130.95,92.6,5.1678090135,227.747047836,-11.5740200222,11.5740200222
31263.0,4969.0,141.325,100.75,13.1932984882,231.849768885,4.10272104846,4.10272104846
31869.0,5271.0,156.475,108.3,16.9270493589,243.51144776,11.6616788748,11.6616788748
32465.0,5692.0,171.375,118.825,18.2424128064,234.764227473,-8.74722028663,8.74722028663
33168.0,6158.0,188.95,130.475,21.0856141718,236.461274826,1.69704735346,1.69704735346
33723.0,6626.0,202.825,142.175,18.149535118,229.861610638,-6.59966418822,6.59966418822
34269.0,7172.0,216.475,155.825,19.3040151264,225.000562702,-4.86104793645,4.86104793645
34887.0,7735.0,231.925,169.9,20.8999551435,227.6669251,2.66636239794,2.66636239794
35161.0,8027.0,238.775,177.2,10.0106193615,223.179502248,-4.4874228517,4.4874228517
35295.0,8224.0,242.125,182.125,5.95635165181,214.22503805,-8.95446419759,8.95446419759
35635.0,8676.0,250.625,193.425,14.1400141443,216.951578469,2.72654041852,2.72654041852
35954.0,9084.0,258.6,203.625,12.9476107835,218.021240776,1.06966230714,1.06966230714
36444.0,9643.0,270.85,217.6,18.5839480466,221.237223621,3.21598284489,3.21598284489
36927.0,10117.0,282.925,229.45,16.9182778379,225.539458649,4.30223502767,4.30223502767
