X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
29073.0,8376.0,282.125,9.5,,,,
28490.0,8282.0,267.55,7.15,14.7632355871,80.8398532532,,
27911.0,8072.0,253.075,1.9,15.3976662193,70.0637650032,-10.77608825,10.77608825
27444.0,7996.0,241.4,0.0,11.8285935343,80.7555398292,10.6917748259,10.6917748259
27012.0,8115.0,230.6,2.975,11.2022598167,105.399613406,24.644073577,24.644073577
26508.0,8523.0,218.0,13.175,16.2111073033,128.990264185,23.5906507792,23.5906507792
26080.0,8977.0,207.3,24.525,15.5984774898,136.687835748,7.6975715629,7.6975715629
25251.0,9498.0,186.575,37.55,24.4780769261,122.147504276,-14.5403314721,14.5403314721
24383.0,9732.0,164.875,43.4,22.474708007,105.086745572,-17.060758704,17.060758704
23351.0,9907.0,139.075,47.775,26.1683133771,99.6236937986,-5.46305177353,5.46305177353
22422.0,9909.0,115.85,47.825,23.2250538213,90.1226565132,-9.50103728538,9.50103728538
21779.0,9783.0,99.775,44.675,16.3807241903,78.9122157152,-11.210440798,11.210440798
21268.0,9546.0,87.0,38.75,14.0821251947,65.1174280506,-13.7947876645,13.7947876645
20732.0,9330.0,73.6,33.35,14.4471450467,68.0504387928,2.9330107422,2.9330107422
20072.0,9380.0,57.1,34.6,16.5472807434,94.331378457,26.2809396642,26.2809396642
19722.0,9692.0,48.35,42.4,11.7218812483,131.713770556,37.3823920991,37.3823920991
19264.0,9868.0,36.9,46.8,12.2663156653,111.019594859,-20.6941756975,20.6941756975
18482.0,9716.0,17.35,43.0,19.9158856193,78.9997420886,-32.01985277,32.01985277
17788.0,9467.0,0.0,36.775,18.4329358758,70.2618680791,-8.73787400952,8.73787400952
