X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
29283.0,13674.0,0.0,0.0,,,,
29793.0,14551.0,12.75,21.925,25.3627310241,210.179506668,,
30227.0,15140.0,23.6,36.65,18.2906567679,216.384847105,6.20534043781,6.20534043781
30743.0,15867.0,36.5,54.825,22.287678771,215.366245125,-1.01860198044,1.01860198044
31401.0,16643.0,52.95,74.225,25.4354575347,220.296281182,4.93003605733,4.93003605733
32110.0,17110.0,70.675,85.9,21.2245435758,236.628746537,16.3324653551,16.3324653551
32972.0,17733.0,92.225,101.475,26.5891542739,234.143419438,-2.48532709948,2.48532709948
33707.0,18060.0,110.6,109.65,20.1114706076,246.016522795,11.8731033569,11.8731033569
34409.0,18492.0,128.15,120.45,20.6068556553,238.393139073,-7.62338372196,7.62338372196
35217.0,18666.0,148.35,124.8,20.6630709238,257.84788689,19.4547478175,19.4547478175
35936.0,18667.0,166.325,124.825,17.9750173852,269.921184735,12.0732978448,12.0732978448
36578.0,18775.0,182.375,127.525,16.2755184249,260.451801925,-9.46938281013,9.46938281013
37187.0,18570.0,197.6,122.4,16.0644405443,288.604913536,28.153111611,28.153111611
