X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
24094.0,20043.0,75.1,82.05,,,,
23378.0,20016.0,57.2,81.375,17.9127224341,87.8397033275,,
23184.0,20628.0,52.35,96.675,16.0503115235,162.411440668,74.5717373401,74.5717373401
23528.0,20987.0,60.95,105.65,12.4302302875,223.778492431,61.3670517633,61.3670517633
24051.0,21157.0,74.025,109.9,13.7483862689,251.994412925,28.2159204941,28.2159204941
24649.0,20968.0,88.975,105.175,15.6789070091,287.540133662,35.5457207374,35.5457207374
24847.0,20450.0,93.925,92.225,13.8638017874,339.081526259,51.5413925966,51.5413925966
25129.0,20165.0,100.975,85.1,10.0233789213,315.304116806,-23.7774094532,23.7774094532
25444.0,20001.0,108.85,81.0,8.8783796382,297.504437688,-17.7996791177,17.7996791177
24971.0,19364.0,97.025,65.075,19.8352275006,36.5950812342,99.0906435462,99.0906435462
24383.0,19073.0,82.325,57.8,16.4016957965,63.6685571537,27.0734759195,27.0734759195
23896.0,19414.0,70.15,66.325,14.8629152591,124.999079529,61.3305223749,61.3305223749
23422.0,19650.0,58.3,72.225,13.2375413125,116.467245537,-8.53183399157,8.53183399157
22895.0,20160.0,45.125,84.975,18.3342064186,134.060208824,17.5929632867,17.5929632867
23099.0,20937.0,50.225,104.4,20.0833419779,194.711084396,60.6508755722,60.6508755722
23613.0,21287.0,63.075,113.15,15.5462214059,235.748534775,41.037450379,41.037450379
24090.0,21313.0,75.0,113.8,11.9427017463,266.881318006,31.1327832314,31.1327832314
24739.0,21125.0,91.225,109.1,16.8920284454,286.155808394,19.2744903877,19.2744903877
25230.0,20749.0,103.5,99.7,15.4607769856,307.445009789,21.2892013944,21.2892013944
25610.0,20405.0,113.0,91.1,12.8144449743,312.154171339,4.70916155076,4.70916155076
25882.0,20080.0,119.8,82.975,10.595075507,320.074093714,7.91992237488,7.91992237488
26285.0,19581.0,129.875,70.5,16.0353125944,321.07565752,1.00156380546,1.00156380546
26323.0,19163.0,130.825,60.05,10.4930929663,354.805690291,33.7300327711,33.7300327711
26214.0,18627.0,128.1,46.65,13.674268719,11.4946241623,16.6889338715,16.6889338715
25689.0,18100.0,114.975,33.475,18.5969419529,44.8905671171,33.3959429548,33.3959429548
25070.0,17734.0,99.5,24.325,17.9777118956,59.4045476271,14.5139805101,14.5139805101
24262.0,17805.0,79.3,26.1,20.2778358066,95.0209800138,35.6164323867,35.6164323867
24091.0,17950.0,75.025,29.725,5.60502007133,130.294394109,35.273414095,35.273414095
24104.0,18155.0,75.35,34.85,5.13529453878,183.628711758,53.334317649,53.334317649
24000.0,18472.0,72.75,42.775,8.34060099753,161.836042411,-21.792669347,21.792669347
23888.0,18701.0,69.95,48.5,6.37303891405,153.936520962,-7.89952144904,7.89952144904
23656.0,19062.0,64.15,57.525,10.7280298751,147.272046585,-6.66447437654,6.66447437654
23392.0,19166.0,57.55,60.125,7.09365914039,111.499497703,-35.7725488821,35.7725488821
23045.0,19330.0,48.875,64.225,9.5950833764,115.295066493,3.79556878999,3.79556878999
22836.0,19393.0,43.65,65.8,5.45721998824,106.772091489,-8.52297500358,8.52297500358
22597.0,19317.0,37.675,63.9,6.26981857792,72.357655407,-34.4144360825,34.4144360825
22351.0,19245.0,31.525,62.1,6.40800280899,73.6840645141,1.32640910707,1.32640910707
