X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
17344.0,27690.0,207.925,230.025,,,,
16457.0,25050.0,185.75,164.025,69.6256463166,18.5715186186,,
17267.0,21821.0,206.0,83.3,83.2261264568,345.917869754,-32.6536488645,32.6536488645
19129.0,20000.0,252.55,37.775,65.1108909861,314.36231533,-31.555554424,31.555554424
17563.0,19237.0,213.4,18.7,43.5497201484,64.0230899206,109.66077459,109.66077459
16018.0,18755.0,174.775,6.65,40.461007464,72.6731534602,8.6500635396,8.6500635396
14356.0,18506.0,133.225,0.425,42.0137254359,81.4790809282,8.80592746804,8.80592746804
13057.0,18654.0,100.75,4.125,32.6850979041,96.4993914955,15.0203105673,15.0203105673
11531.0,18923.0,62.6,10.85,38.7381998162,99.9968381852,3.49744668967,3.49744668967
9971.0,18489.0,23.6,0.0,40.4811375828,74.4528820924,-25.5439560927,25.5439560927
9027.0,18749.0,0.0,6.5,24.4787663088,105.398192581,30.945310489,30.945310489
