X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
11015.0,1808.0,0.0,16.1,,,,
11697.0,1654.0,17.05,12.25,17.4792734403,282.725089768,,
12325.0,1477.0,32.75,7.825,16.3116714349,285.741120681,3.01603091362,3.01603091362
12732.0,1331.0,42.925,4.175,10.8098623951,289.735233127,3.99411244585,3.99411244585
13353.0,1243.0,58.45,1.975,15.6801028377,278.066342631,-11.6688904956,11.6688904956
14114.0,1164.0,77.475,0.0,19.1272384311,275.927363984,-2.13897864794,2.13897864794
14721.0,1179.0,92.65,0.375,15.179632736,268.585430336,-7.34193364779,7.34193364779
15595.0,1356.0,114.5,4.8,22.2935668972,258.552155219,-10.0332751164,10.0332751164
16191.0,1495.0,129.4,8.275,15.2998570255,256.873032536,-1.67912268339,1.67912268339
16739.0,2006.0,143.1,21.05,18.732074765,227.001620552,-29.871411984,29.871411984
17298.0,2498.0,157.075,33.35,18.6169445667,228.648220624,1.64660007198,1.64660007198
17769.0,2931.0,168.85,44.175,15.9947256932,227.407733184,-1.24048743968,1.24048743968
18393.0,3471.0,184.45,57.675,20.6303174963,229.128158223,1.72042503877,1.72042503877
19003.0,4073.0,199.7,72.725,21.425802202,225.378698642,-3.74945958067,3.74945958067
19293.0,4814.0,206.95,91.25,19.893167797,201.373818114,-24.004880528,24.004880528
19743.0,5546.0,218.2,109.55,21.4814454821,211.581667809,10.2078496952,10.2078496952
20061.0,6329.0,226.15,129.125,21.1277808821,202.103833554,-9.47783425515,9.47783425515
20416.0,6962.0,235.025,144.95,18.1437661471,209.285055713,7.18122215848,7.18122215848
20594.0,7829.0,239.475,166.625,22.1270902967,191.602071472,-17.6829842413,17.6829842413
20768.0,8411.0,243.825,181.175,15.1863425485,196.645322454,5.04325098236,5.04325098236
20728.0,8830.0,242.825,191.65,10.522624435,174.546628087,-22.0986943665,22.0986943665
20627.0,9347.0,240.3,204.575,13.1693298994,168.945823126,-5.60080496116,5.60080496116
20577.0,9856.0,239.05,217.3,12.7862474949,174.38961585,5.44379272386,5.44379272386
20515.0,10636.0,237.5,236.8,19.5615055658,175.455213666,1.06559781574,1.06559781574
20426.0,11259.0,235.275,252.375,15.7331258814,171.869762022,-3.58545164386,3.58545164386
20177.0,12122.0,229.05,273.95,22.4550940768,163.905457242,-7.96430477998,7.96430477998
20065.0,12859.0,226.25,292.375,18.6365400491,171.358898324,7.4534410824,7.4534410824
20306.0,13786.0,232.275,315.55,23.9453805566,194.573221135,23.2143228103,23.2143228103
20162.0,14517.0,228.675,333.825,18.6262080145,168.855808876,-25.717412259,25.717412259
20124.0,15166.0,227.725,350.05,16.2527882223,176.649010899,7.79320202365,7.79320202365
20038.0,15580.0,225.575,360.4,10.5709507614,168.264589226,-8.38442167284,8.38442167284
19917.0,16086.0,222.55,373.05,13.0066569494,166.551117456,-1.7134717705,1.7134717705
19723.0,16893.0,217.7,393.225,20.7497740952,166.482613736,-0.068503720165,0.068503720165
19547.0,17504.0,213.3,408.5,15.8960883553,163.930565575,-2.55204816049,2.55204816049
19738.0,18037.0,218.075,421.825,14.1547253594,199.715446417,35.7848808419,35.7848808419
19899.0,18682.0,222.1,437.95,16.6197548117,194.015560798,-5.69988561909,5.69988561909
19865.0,19440.0,221.25,456.9,18.9690537455,177.431690105,-16.5838706933,16.5838706933
19862.0,20265.0,221.175,477.525,20.6251363632,179.791649928,2.35995982297,2.35995982297
19800.0,21006.0,219.625,496.05,18.5897317087,175.217093313,-4.57455661458,4.57455661458
19789.0,21750.0,219.35,514.65,18.602032819,179.152934598,3.93584128485,3.93584128485
19740.0,22332.0,218.125,529.2,14.6014768089,175.187391721,-3.96554287714,3.96554287714
19632.0,23006.0,215.425,546.05,17.0649494579,170.896321205,-4.29107051561,4.29107051561
19427.0,23741.0,210.3,564.425,19.0763269525,164.415383938,-6.48093726689,6.48093726689
19070.0,24351.0,201.375,579.675,17.6696951021,149.66143507,-14.7539488684,14.7539488684
