id,date,time_start,time_finish,species,prey,location,pred_size,prey_captured,prey_size,sim_enc,sand,ripple,water,slope,temp,temp_time,low_tide,tide_ht,A+,A,A?,P,PC,S,B,PIT,TF,FOT,OTE,Events
50,26-02-85,13:13,13:18,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
51,26-02-85,13:01,13:04,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,
52,06-03-85,12:40,12:48,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
53,06-03-85,12:40,12:53,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
54,06-03-85,13:23,13:35,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
55,07-03-85,13:14,13:19,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
56,07-03-85,14:15,14:22,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
57,07-03-85,13:32,13:41,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
58,07-03-85,13:48,14:02,2,2,T6,,,,,,,,,,,,,,,,,,,,,,,,
59,10-03-85,13:02,13:11,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
60,10-03-85,12:41,13:05,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
61,10-03-85,12:45,12:51,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
62,10-03-85,12:48,12:57,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
63,10-03-85,13:13,13:23,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
64,10-03-85,13:13,13:21,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
65,10-03-85,12:55,13:02,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
66,10-03-85,12:59,13:04,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
67,10-03-85,12:51,12:55,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
68,10-03-85,12:41,12:46,1,0,L1,,,,,,,,,,,,,,,,,,,,,,,,
