X-location,Y-location,X-location,Y-location,Distance,Bearing,Angle,Abs Angle
(raw),(raw),(normalised),(normalised),(mm),(degrees),(degrees),(degrees)
28676,15184,341.1,151.3,,,,
27372,15144,308.5,150.3,32.6153338171,88.2426472538,,
26296,14920,281.6,144.7,27.4767174168,78.2397726906,-10.0028745632,10.0028745632
25208,14988,254.4,146.4,27.2530732212,93.5757368087,15.3359641181,15.3359641181
24208,14708,229.4,139.4,25.9615099715,74.3572850475,-19.2184517612,19.2184517612
23260,14332,205.7,130,25.4960781298,68.365046982,-5.9922380655,5.9922380655
22672,13156,191,100.6,32.8701992692,26.5648787332,-41.8001682488,41.8001682488
21852,12460,170.5,83.2,26.8888452709,49.6756884911,23.1108097579,23.1108097579
21228,11484,154.9,58.8,28.9606629758,32.592342582,-17.083345909,17.083345909
20596,10600,139.1,36.7,27.1670756615,35.5619179947,2.9695754127,2.9695754127
20268,10396,130.9,31.6,9.6566039579,58.1191926759,22.5572746812,22.5572746812
19664,10268,115.8,28.4,15.4353490404,78.0340292433,19.9148365675,19.9148365675
18916,10252,97.1,28,18.7042775856,88.7739180459,10.7398888026,10.7398888026
18124,10304,77.3,29.3,19.842630874,93.7556593733,4.9817413274,4.9817413274
17256,10152,55.6,25.5,22.0302065356,80.0667770487,-13.6888823247,13.6888823247
16228,9888,29.9,18.9,26.5339405291,75.5966933294,-4.4700837193,4.4700837193
15420,10136,9.7,25.1,21.1300733553,107.062147508,31.4654541787,31.4654541787
15292,10296,6.5,29.1,5.1224993899,141.3384122007,34.2762646927,34.2762646927
15032,10944,0,45.3,17.4553716661,158.137313534,16.7989013333,16.7989013333
15132,12280,2.5,78.7,33.493432192,184.2806595356,26.1433460015,26.1433460015
15284,13276,6.3,103.6,25.1882909305,188.677078504,4.3964189685,4.3964189685
15640,14284,15.2,128.8,26.7254560298,199.452121771,10.775043267,10.775043267
16196,15160,29.1,150.7,25.9387740651,212.4037500597,12.9516282888,12.9516282888
16956,15860,48.1,168.2,25.8311827062,227.3537447423,14.9499946826,14.9499946826
17836,16608,70.1,186.9,28.8736904465,229.635883345,2.2821386027,2.2821386027
18572,17116,88.5,199.6,22.3573254214,235.3864611869,5.7505778419,5.7505778419
18972,17244,98.5,202.8,10.4995237987,252.2566887589,16.870227572,16.870227572
19256,17560,105.6,210.7,10.6216759506,221.948054369,-30.3086343899,30.3086343899
19352,18152,108,225.5,14.9933318512,189.2111872484,-32.7368671206,32.7368671206
19232,18916,105,244.6,19.3341666487,171.0734695755,-18.1377176728,18.1377176728
20148,19356,127.9,255.6,25.4049207832,244.3432911015,73.269821526,73.269821526
21284,19004,156.3,246.8,29.7321374946,287.2164722901,42.8731811886,42.8731811886
22576,18944,188.6,245.3,32.3348109628,272.659253132,-14.5572191581,14.5572191581
23536,19148,212.6,250.4,24.5358920767,258.003737625,-14.6555155069,14.6555155069
24064,19024,225.8,247.3,13.5591297656,283.2172876296,25.2135500046,25.2135500046
24892,18716,246.5,239.6,22.085742007,290.4047775397,7.1874899101,7.1874899101
25760,17908,268.2,219.4,29.6467536165,312.9500279313,22.5452503916,22.5452503916
26212,17392,279.5,206.5,17.1493440108,318.7831609852,5.8331330539,5.8331330539
26920,17140,297.2,200.2,18.7877619742,289.5929406844,-29.1902203008,29.1902203008
27540,16600,312.7,186.7,20.5548047911,311.0552979188,21.4623572344,21.4623572344
27808,16360,319.4,180.7,8.9938868127,311.8463028709,0.7910049521,0.7910049521
27808,16360,319.4,180.7,0,311.8463028709,0,0
28136,15920,327.6,169.7,13.7200583089,323.2977379309,11.45143506,11.45143506
28468,15240,335.9,152.7,18.9179808648,333.9770469448,10.6793090139,10.6793090139
28460,14256,335.7,128.1,24.6008129947,0.4658047426,26.4887577979,26.4887577979
27988,13468,323.9,108.4,22.9636669546,30.9206721582,30.4548674155,30.4548674155
27472,12720,311,89.7,22.7178344038,34.5991191738,3.6784470156,3.6784470156
26972,11976,298.5,71.1,22.4100423917,33.9024705198,-0.696648654,0.696648654
26260,11336,280.7,55.1,23.9340761259,48.0479704363,14.1454999165,14.1454999165
25640,10988,265.2,46.4,17.7747011227,60.6942726825,12.6463022462,12.6463022462
24888,10684,246.4,38.8,20.278066969,67.9881193437,7.2938466612,7.2938466612
24164,10632,228.3,37.5,18.1466250306,85.8911730561,17.9030537124,17.9030537124
23068,10156,200.9,25.6,29.8725626621,66.5239934856,-19.3671795704,19.3671795704
22104,9968,176.8,20.9,24.5540220738,78.9641399586,12.4401464729,12.4401464729
21156,10036,153.1,22.6,23.7608922391,94.1021230759,15.1379831173,15.1379831173
20424,9676,134.8,13.6,20.3933812792,63.8113129225,-30.2908101533,30.2908101533
19560,9204,113.2,1.8,24.6130046926,61.3519246424,-2.4593882801,2.4593882801
19348,9132,107.9,0,5.5973207877,71.2389867221,9.8870620797,9.8870620797
19348,9132,107.9,0,0,71.2389867221,0,0
